SubjectID,researchdate
4844634155853,2025-07-06
4844634155853,2025-07-12
5034735006047,2025-09-28
5034735006217,2025-10-16
5034735006831,2025-10-20
5034735007357,2025-09-08
5034735007627,2025-08-21
5034735007817,2025-08-30
9910175246783616,2025-10-05
9989555737518336,2025-09-29
9989555737518336,2025-10-01
153131660580731456,2025-10-21
153134773740665347,2025-10-20
216178771397981588,2025-08-24
225608272464491072,2025-06-02
360293909705804580,2025-06-23
360293909705804580,2025-09-23
360293909705804778,2025-08-16
360295281038589837,2025-10-31
369305764258770457,2025-08-24
369305764258770457,2025-09-26
369305952269615221,2025-06-14
369306588173643414,2025-08-31
369306588173643414,2025-09-06
369306588173643414,2025-09-16
369306588173643414,2025-09-17
369307611172934656,2025-10-22
441361688982367554,2025-06-14
441361688982367554,2025-10-22
442932828512505024,2025-07-14
442932828512505024,2025-08-08
504410216844887574,2025-06-06
504410762191816834,2025-06-15
576465923186619466,2025-06-16
576467810957597286,2025-07-30
648524241621891017,2025-06-05
648524241621891017,2025-06-14
648524241621891017,2025-06-26
648524241621891017,2025-07-06
648524241621891017,2025-07-08
657537196568801346,2025-08-01
657540071955486912,2025-06-29
658983189719959233,2025-10-15
720583759961119936,2025-06-12
729594265295609632,2025-10-31
792639191900656652,2025-07-18
792639191900656652,2025-07-19
792640588831739337,2025-10-29
792640751260989745,2025-10-25
801649609405801345,2025-10-22
801649609405801345,2025-10-28
801651201304651908,2025-10-01
801651201304652231,2025-08-06
802341714711045824,2025-07-16
864698737912134848,2025-07-01
864698737912134848,2025-08-02
864698737912134848,2025-09-20
864698737912134848,2025-10-22
936756002501340111,2025-06-09
945768468522226048,2025-08-21
946553516040883456,2025-08-23
946914460040435776,2025-10-16
947494056560982336,2025-09-30
1008811791543195049,2025-06-30
1008814384946819138,2025-10-08
1018435448109585216,2025-07-02
1018435448109585216,2025-08-07
1161942649620631617,2025-06-28
1161942649620631617,2025-10-28
1162022737893971328,2025-07-22
1224996632231164864,2025-06-26
1233997180257176773,2025-09-08
1233998501833434304,2025-07-29
1297043019275485478,2025-07-23
1297043776825667136,2025-09-27
1297043776825667136,2025-09-28
1306055321721055758,2025-09-08
1306055321721055829,2025-06-30
1306055918923481346,2025-09-23
1306055918923481346,2025-09-29
1306055918923481346,2025-10-29
